#Tu słowa będą dzielone na poziomy trudności, na podstawie ich wartości:
#Za każdą "zwykłą" literę do wartości słowa zostaje dodany punkt
#Za każdy polski znak (ą, ć, ę, ł, ń, ó, ś, ź, ż) do wartości słowa zostaje dodany punkt "s"
#(później przypisze się s pewną wartość liczbową)

****************************************************************************************************************************************

Polski: (76)
akcelerator		11
aksjomat		8
alfabet			7
amalgamat		9
aranżacja		8+s
archeolog		9
autentyczny		11
autochton		9
astronomia		10
bagażnik		7+s
beznadziejny		12
bezpieczeństwo		13+s
biblioteczny		12
biologiczny		11
bohater			7
chrząszcz		8+s
czarnoksiężnik		12+2s
człowieczeństwo		13+2s
dziedziniec		11
elektronowolt		13
emerytura		9
fotosynteza		11
frustrujący		10+s
gżegżółka		5+4s
horyzont		8
irygator		8
jowialny		8
kałamarz		7+s
klawiatura		10
Konstantynopol		14
kontrowersyjny		14
konwersacja		11
koralowy		8
królestwo		8+s
lefebrysta		10
marynarski		10
matematyka		10
mistrz			6
narodowy		8
nawodnienie		11
notatnik		8
ortodoksyjny		12
pasikonik		9
pięćdziesięciogroszówka	19+4s
powyłamywane		11+s
półprzewodnik		11+2s
prawdopodobieństwo	17+s
prezydent		9
programistyczny		15
promieniotwórczy	15+s
prototyp		8
prowadzący		10
przebijający		11+s
przemądrzały		10+2s
przychylność		10+2s
rozerwać		7+s
różniczkowanie		12+2s
rzeczywistość		11+2s
słownictwo		9+s
sprawiedliwość		12+2s
straganiarz		11
Szczebrzeszyn		13
transformata		12
trudność		6+2s
usuwanie		8
widoczność		8+2s
witaminy		8
wizualizacja		12
wszechświat		10+s
wybudować		8+s
zacietrzewienie		15
zagrożenie		9+s
zmrużyć			5+2s
zniechęcający		11+2s
zrozumienie		11
żywotność		6+3s

****************************************************************************************************************************************

Angielski: (84)
anniversary		    11
anthem			      6
apprentice		    10	
arachnophobia		  13
architecture		  12
asterisk		      8
attention		      9
aubergine		      9
blasphemous		    11
borderless		    10
bulletproof		    11
characteristics		15
circadian		      9
colorblind		    10
commerce		      8
constricted		    11
courageous		    10
courtyard		      9
cutthroat		      9
daughter		      8
defamation		    10
dehydration		    11	
delightful		    10
departure		      9
desensitize		    11
despicable		    10
dictionary		    10
dignity			      7
distortion		    10
diversity		      9	
easiest			      7
earthquake		    10
embarrassment		  13
entertainment		  13
entrepreneur		  12
executable		    10
explicit		      8
flying			      6
garage			      6
hallucinations		14
hummingbird		    11
hypothetically		14
incinerate		    10
incomprehensible	16
inconvenient		  12
incorporated		  12
individuality		  13
insatiable		    10
interference		  12
introduction		  12
kaleidoscope		  12
kerosene		      8
keyboard		      8
laughter		      8
lemonade		      8
malfunction		    11
master			      6
mayhem			      6
meeting			      7
melancholy		    10
midnight		      8
nightmare		      9
nocturnal		      9
oblivion		      8
organization		  12
overload		      8
parentheses		    11
penitentiary		  12
pumpkin			      7
revolving		      9
shortcut		      8
slaughterhouse	  14
solution		      8
stratosphere		  12
substance		      9
thunderstorm		  12
translucent		    11
unambiguous		    11
underground		    11
university		    10
violence		      8
witchcraft		    10
withering		      9
yieldingly		    9 
